__fuente__,fecha_inicio,fecha_fin_iso,descripcion,observaciones,fecha_inicio_iso,fecha_cronica,folios,signatura,fecha_fin,fecha_topica
Denegri-Documentos.xlsx,1836-Mar.-14,1852-08-20,"Libro de partidas de bautismo y casamiento de los esclavos de esta hacienda de Bocanegra, que empieza en 12 de marzo de 1836.",2 f. sueltos. Forrado en pergamino. Se encontraba en la Biblioteca Denegri. Antiguo Número de clasificación en Biblioteca: REL-01401.,1836-03-14,1836-Mar.-14/1852-Ago.-20,"30 f.u., 173 f. b.",FDL-1366,1852-Ago.-20,Lima
Denegri-Documentos.xlsx,1837-May.-17,,Oficio dirigido por la Prefectura del Departamento de La Ley al Subprefecto de la Provincia de Chuquibamba.,Texto manuscrito. Antigua signatura: A3,1837-05-17,1837-May.-17,1 f.u.,FDL-0012,,Arequipa
Denegri-Documentos.xlsx,s,,"Lista de capitánes que vinieron al Perú en el Siglo XIX ""Riviera di Levante"".",Mecanografiada. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: MAR-PERU: 00147. Contiene 78 Unidades.,,s/f.,78 f.u.,FDL-1369,f.,"Callao, Lima"
Denegri-Documentos.xlsx,1817-Set.-19,,Descripción de la Epidemia que se padeció en Lima durante 1817 y 1818 por José Pezet. Además de la correspondencia al Dr. Jeremías Ronbinson a San Martín.,Fotocopia. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: CIENCIAS: 00048. Contiene 32 Unidades.,,1817-Set.-19/1822-Set.-20,32 f.u.,FDL-1371,1822-Set.-20,"Lima, Santiago de Chile"
Denegri-Documentos.xlsx,1784 -Jul.-09,1824-07-12,""" Documentos inéditos sobre la fundación i desenvolviendo del Hospital de Puno i el establecimiento i propagación de la vacuna Antivaiolica durante la colonia. """,Copia mecanografiada. se encontraba en la biblioteca Denegri. Antiguo número de clasificación: CIENCIAS: 00056. Contiene 61 Unidades con 1 carátula.,1784-07-09,1784 -Jul.-09/1824 -Jul.-12,61 f.u.,FDL-1372,1824 -Jul.-12,"Puno, Arequipa, Desaguadero"
Denegri-Documentos.xlsx,1881-Ene.-30,1881-04-02,Correspondencia de Nicolás de Piérola a Rufino Torrico alcalde Municipal de Lima.,Encuadernado. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: His/Pe2/01612. Contiene 1 Unidad,1881-01-30,1881-Ene.-30/1881-Abr.-02,6 f.u. y 2 f.b.,FDL-1373,1881-Abr.-02,"Tarma, Jauja"
Denegri-Documentos.xlsx,1883-Oct.-14,1888-02-29,Recortes periodísticos de diferentes diarios sobre los sucesos de Arequipa durante la Guerra con Chile.,Encuadernado. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: His/Pe2/01897. Contiene 1 Unidad,1883-10-14,1883-Oct.-14/1888-Feb.-29,84 f.u.,FDL-1374,1888-Feb.-29,Arequipa
Denegri-Documentos.xlsx,1866-Feb.-20,,"Título de fiscal sustituto del Fiscal de Lima, expedido en favor de Juan Portal por el gobierno de Mariano Ignacio Prado.",Texto impreso y manuscrito. Antigua signatura: A3,1866-02-20,1866-Feb.-20,1 f.u.,FDL-0013,,Lima
Denegri-Documentos.xlsx,1842-Feb.-07,,"Oficio de denuncia contra Esteban Espinoza, procurador sindico de Tarma, dirigido al presidente de la República por Eusebio Collao, cobrador del tesoro público, a causa de que el denunciado no cumplió con la entrega del cupo que le correspondió el año de 1830 en el empréstito para el gobierno. Relación de bienes de Esteban Espinoza.","Texto manuscrito, 2 documentos y un sobre cosidos. Antigua signatura: A26.",1842-02-07,1842-Feb.-07,3 f.ú.,FDL-0114,,Tarma
Denegri-Documentos.xlsx,1866-Ago.-09,,"Cédula de licencia concedida a Aarón Montenegro, subteniente de la Infantería del Ejército, por el gobierno de Mariano Ignacio Prado.",Texto impreso. Antigua signatura: A3,1866-08-09,1866-Ago.-09,1 f.u.,FDL-0014,,Lima
