__fuente__,signatura,folios,fecha_topica,fecha_cronica_iso,fecha_cronica,observaciones,descripcion
Denegri-Documentos.xlsx,FDL-1366,"30 f.u., 173 f. b.",Lima.,fecha inválida,1836-Mar.-14/1852-Ago.-20,2 f. sueltos. Forrado en pergamino. Se encontraba en la Biblioteca Denegri. Antiguo Número de clasificación en Biblioteca: REL-01401.,"Libro de partidas de bautismo y casamiento de los esclavos de esta hacienda de Bocanegra, que empieza en 12 de marzo de 1836."
Denegri-Documentos.xlsx,FDL-0012,1 f.u.,Arequipa.,1837-05-17,1837-May.-17,Texto manuscrito. Antigua signatura: A3,Oficio dirigido por la Prefectura del Departamento de La Ley al Subprefecto de la Provincia de Chuquibamba.
Denegri-Documentos.xlsx,FDL-1369,78 f.u.,"Callao, Lima.",fecha inválida,s/f.,Mecanografiada. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: MAR-PERU: 00147. Contiene 78 Unidades.,"Lista de capitánes que vinieron al Perú en el Siglo XIX ""Riviera di Levante""."
Denegri-Documentos.xlsx,FDL-1371,32 f.u.,"Lima, Santiago de Chile.",fecha inválida,1817-Set.-19/1822-Set.-20,Fotocopia. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: CIENCIAS: 00048. Contiene 32 Unidades.,Descripción de la Epidemia que se padeció en Lima durante 1817 y 1818 por José Pezet. Además de la correspondencia al Dr. Jeremías Ronbinson a San Martín.
Denegri-Documentos.xlsx,FDL-1372,61 f.u.,"Puno, Arequipa, Desaguadero.",fecha inválida,1784 -Jul.-09/1824 -Jul.-12,Copia mecanografiada. se encontraba en la biblioteca Denegri. Antiguo número de clasificación: CIENCIAS: 00056. Contiene 61 Unidades con 1 carátula.,""" Documentos inéditos sobre la fundación i desenvolviendo del Hospital de Puno i el establecimiento i propagación de la vacuna Antivaiolica durante la colonia. """
Denegri-Documentos.xlsx,FDL-1373,6 f.u. y 2 f.b.,"Tarma, Jauja.",fecha inválida,1881-Ene.-30/1881-Abr.-02,Encuadernado. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: His/Pe2/01612. Contiene 1 Unidad,Correspondencia de Nicolás de Piérola a Rufino Torrico alcalde Municipal de Lima.
Denegri-Documentos.xlsx,FDL-1374,84 f.u.,Arequipa.,fecha inválida,1883-Oct.-14/1888-Feb.-29,Encuadernado. Se encontraba en la biblioteca Denegri. Antiguo número de clasificación: His/Pe2/01897. Contiene 1 Unidad,Recortes periodísticos de diferentes diarios sobre los sucesos de Arequipa durante la Guerra con Chile.
Denegri-Documentos.xlsx,FDL-0013,1 f.u.,Lima.,1866-02-20,1866-Feb.-20,Texto impreso y manuscrito. Antigua signatura: A3,"Título de fiscal sustituto del Fiscal de Lima, expedido en favor de Juan Portal por el gobierno de Mariano Ignacio Prado."
Denegri-Documentos.xlsx,FDL-0114,3 f.ú.,Tarma.,1842-02-07,1842-Feb.-07,"Texto manuscrito, 2 documentos y un sobre cosidos. Antigua signatura: A26.","Oficio de denuncia contra Esteban Espinoza, procurador sindico de Tarma, dirigido al presidente de la República por Eusebio Collao, cobrador del tesoro público, a causa de que el denunciado no cumplió con la entrega del cupo que le correspondió el año de 1830 en el empréstito para el gobierno. Relación de bienes de Esteban Espinoza."
Denegri-Documentos.xlsx,FDL-0014,1 f.u.,Lima.,fecha inválida,1866-Ago.-09,Texto impreso. Antigua signatura: A3,"Cédula de licencia concedida a Aarón Montenegro, subteniente de la Infantería del Ejército, por el gobierno de Mariano Ignacio Prado."
Denegri-Documentos.xlsx,FDL-0015,1 f.u.,Lima.,1866-03-28,1866-Mar.-28,Texto impreso y manuscrito. Antigua signatura: A3,Título de subteniente efectivo de la Infantería del Ejército expedido en favor de Marcial Alomía por el gobierno de Mariano Ignacio Prado.
Denegri-Documentos.xlsx,FDL-0016,1 f.u.,Lima.,1863-05-08,1863-May.-08,Texto manuscrito. Antigua signatura: A3,"Nombramiento de alumno del Colegio Militar, expedido en favor de Manuel Sarmiento por Manuel de la Guarda, general de brigada del Ejército Nacional y ministro de guerra y marina."
Denegri-Documentos.xlsx,FDL-0017,2 f.u.,Lima.,1863-02-27,1863-Feb.-27,Texto manuscrito. Antigua signatura: A3.,"Cédula de licencia absoluta expedida para el guardia marina Javier de la Puente por Isidro Frisancho, general de brigada del Ejército Nacional y ministro de guerra y marina."
Denegri-Documentos.xlsx,FDL-0018,1 f.u.,Cádiz.,1813-05-16,1813-May.-16,"Texto impreso y manuscrito, (Tinta desvanecida, zona del sello perdida, y en general, oscurecida por suciedad) Antigua signatura: A3","Real provisión de Fernando VII por la que confiere a Juan Valdéz, capitán del Regimiento de Infantería de Lima, la plaza de capitán de la Compañía de Granaderos del mismo regimiento."
Denegri-Documentos.xlsx,FDL-0019,1 f.u.,Cádiz.,1813-07-26,1813-Jul.-26,Texto impreso y manuscrito. Antigua signatura: A3,Real Orden que comúnica un decreto de las Cortes de Cádiz por el que disminuyen los gravámenes impuestos a las provincias.
Denegri-Documentos.xlsx,FDL-0020,1 f.u.,Madrid.,1814-05-19,1814-May.-19,Texto impreso y manuscrito. (Manchado). Antigua signatura: A3,Real Orden del Rey por la que anula el empleo de jefe político y ordena que el mando político esté reunido en los capitánes y comandantes generales de las provincias.
Denegri-Documentos.xlsx,FDL-0021,1 f.u.,Arequipa.,1814-03-29,1814-Mar.-29,"Texto manuscrito, con hongos. Antigua signatura: A3",Carta dirigida por José G. Moscoso al Comandante del Partido de Arica en la que informa acerca del recojo de la moneda de sol sellada y repartida en Potosí por los insurgentes de Río de la Plata.
Denegri-Documentos.xlsx,FDL-0022,4 f.u. y 6 b.,Chuquibamba.,fecha inválida,1842-Abr.-15,"Texto manuscrito, cosido. Antigua signatura: A3",Libro copiador de la correspondencia dirigida por la Subprefectura de la Provincia de Chuquibamba a la Administración del Tesoro Público y a otras dependencias estatales.
Denegri-Documentos.xlsx,FDL-0023,2 f.u.,,1851-01-01,1851,"Texto manuscrito, con hongos. Antigua signatura: A3","Fragmento de copia simple de una solicitud presentada por Toribio Cuadros, quien pide que se le dé testimonio de una escritura de venta de tierras otorgada en su favor por el indígena Hipólito Palcha."
Denegri-Documentos.xlsx,FDL-0024,1 f.u.,Arequipa.,1826-03-31,1826-Mar.-31,Texto manuscrito. Antigua signatura: A3,Oficio dirigido a la Intendencia de Condesuyos por la Comisión de Hacienda del Sur.
Denegri-Documentos.xlsx,FDL-0026,2 f.u. y 2 b.,Arequipa.,fecha inválida,1826-Jul.-5/14,"Texto manuscritos, 2 Unidades. Antigua signatura: A3",Oficios dirigidos a la Intendencia de la Provincia de Chuquibamba por la Aduana de Arequipa.
Denegri-Documentos.xlsx,FDL-0027,1 f.u. Y 1b.,Arequipa.,1826-06-23,1826-Jun.-23,Texto manuscrito. Antigua signatura: A3,Oficio dirigido a la Intendencia de la Provincia de Chuquibamba por el Visitador General de Hacienda.
Denegri-Documentos.xlsx,FDL-0028,28 f.u.,Lima.,fecha inválida,1806-Abr.-04,"Texto manuscrito, cosido. Antigua signatura: A3",Copia simple de un expediente del Tribunal del Consulado donde se trata acerca del estado del comercio en aquella época.
Denegri-Documentos.xlsx,FDL-0029,1 f.u.,Lima.,1825-02-24,1825-Feb.-24,Texto manuscrito. Antigua signatura: A3,Oficio dirigido por la Secretaría General del Congreso Constituyente al Ministro de Gobierno y Relaciones Exteriores.
Denegri-Documentos.xlsx,FDL-0030,23 f.u.,Lima.,fecha inválida,1870-Jun.-27/1872-Oct.-25,"Texto manuscrito, cosido. Antigua signatura: A3",Expediente de un proceso seguido por María González.
Denegri-Documentos.xlsx,FDL-0031,1 f.u.,Santiago de Chile.,fecha inválida,1818-Abr.-05,Antigua signatura: A3,Reproducción de una carta escrita en 1818 por Bernardo O'Higgins al Supremo Director de las Provincias Unidas de Sudamérica.
Denegri-Documentos.xlsx,FDL-0032,1 f.u.,Maypu.,fecha inválida,1818-Abr.-05,Antigua signatura: A3,Reproducción de una carta escrita en 1818 por José de San Martín al Supremo Director de las Provincias Unidas de Sudamérica.
Denegri-Documentos.xlsx,FDL-0033,2 f.u.,Lima.,1792-02-09,1792-Feb.-09,"Texto manuscrito, presenta el borde inferior quemado. Antigua signatura: A4","Título de comisario interino de cruzada en el Obispado de Arequipa, expedido en favor del canónigo doctoral Francisco Javier de Echevarría."
Denegri-Documentos.xlsx,FDL-0034,3 f.u.,Arequipa.,fecha inválida,1796-Abr.-03,"Texto manuscrito, presenta el borde inferior quemado. Antigua signatura: A4","Certificación de méritos expedida por Antonio Álvarez y Jiménez, teniente coronel de los Reales Ejércitos de la Provincia de Arequipa, en favor de Francisco Javier de Echevarría."
Denegri-Documentos.xlsx,FDL-0035,2 f.u.,Arequipa.,fecha inválida,1789-Abr.-01,"Texto manuscrito, con hongos, presenta los bordes inferiores laterales quemado. (Zonas perdidas). Antigua signatura: A4","Certificación de méritos expedida por Antonio Álvarez y Jiménez, teniente coronel de los Reales Ejércitos de la Provincia de Arequipa, en favor de Francisco Javier de Echevarría."
Denegri-Documentos.xlsx,FDL-0036,2 f.u.,Cuzco.,fecha inválida,1803-Abr.-17,"Texto manuscrito, presenta el borde inferior quemado. Antigua signatura: A4","Certificación de méritos expedida por José González Terán, provincial en la provincia de la Visitación de Santa Isabel del Cuzco, a favor de Francisco Javier Echevarría. Convento de San Juan de Jetrán Arequipa."
Denegri-Documentos.xlsx,FDL-0037,83 f.u.,"Carabaya, Potosí, Buenos Aires.",fecha inválida,1792-Ago.-01,"Texto manuscrito, con hongos, 67 Unidades. Antigua signatura:A4","Cartas, cuentas, y recibos relativos al maestre escuela Francisco Javier de Echevarría, tesorero de la Catedral de Arequipa."
Denegri-Documentos.xlsx,FDL-0038,10 f.u.,Naranjal.,fecha inválida,1881-Feb.-12/Ago.-20,"Texto manuscrito, 10 Unidades. Antigua signatura: A5",Vales de Hacienda. El Naranjal.
Denegri-Documentos.xlsx,FDL-0039,6 f.u.,Naranjal.,fecha inválida,1868-Jun.-06/1969-Feb.-13,"Texto manuscrito, 6 Unidades. Antigua signatura: A6","Cartas y partes enviados a José María Sancho Dávila, Marqués de la Casa Dávila, por José Nicolás Garay, Ramón Azcona y por otro."
Denegri-Documentos.xlsx,FDL-0040,12 f.u. y 6 b.,Lima.,1806-07-22,1806-Jul.-22,2 Unidades. Antigua signatura A7.,"Traslados de un arrendamiento otorgado por Felipe Sancho Dávila, Marqués de la Casa Dávila y regidor de Lima. Además, copia simple del mismo traslado."
Denegri-Documentos.xlsx,FDL-0041,7 f.u. y 1b.,Lima.,fecha inválida,1806- Ago.-01,"Texto manuscrito, cosido, (Quemado por tinta 3%) . Antigua signatura: A7","Traslado de un arrendamiento otorgado por Felipe Sancho Dávila, regidor de Lima el 1 de agosto de 1806."
Denegri-Documentos.xlsx,FDL-0042,15 f.u.,Lima.,1802-11-15,1802-Nov.-15,"Texto manuscrito, quemado por tinta, Antigua signatura: A7","Traslado de un arrendamiento otorgado por Felipe Sancho Dávila, el 15 de noviembre de 1802."
Denegri-Documentos.xlsx,FDL-0043,2 f.u.,Lima.,fecha inválida,1806-Oct.-08/1807-May.-02,"Texto manuscrito, 2 Unidades. Antigua signatura: A7",Recibos otorgados a Felipe Sancho Dávila.
Denegri-Documentos.xlsx,FDL-0044,1 f.u.,Lima.,fecha inválida,1806-Ago.-01,Texto manuscrito. Antigua signatura: A7,Abono otorgado por Felipe Sancho Dávila. (En un trozo de papel).
Denegri-Documentos.xlsx,FDL-0045,2 f.u.,Lima.,1806-07-22,1806-Jul.-22,Texto manuscrito. Antigua signatura: A7,"Copia simple de una escritura de arrendamiento otorgada por Felipe Sancho Dávila a Miguel García Rosillo, el 16 de julio de 1806."
Denegri-Documentos.xlsx,FDL-0046,2 f.u.,Lima.,fecha inválida,1802-Dic.-22,"Texto manuscrito, ligeramente quemada por tinta. Antigua signatura: A7",Minuta de escritura de arrendamiento dirigida al secretario Andrés Sandoval por Felipe Sancho Dávila para que la otorgue en su nombre a favor de Agustín Marchena.
Denegri-Documentos.xlsx,FDL-0047,24 f.u.,Lima.,fecha inválida,1757-Set.-03,"Texto manuscrito, cosido, con hongos, zonas perdidas y manchada. Antigua signatura: A8",Fragmento de una escritura de remate de una plaza de alguacil mayor de corte en favor de Josef del Campo y Bracamonte.
Denegri-Documentos.xlsx,FDL-0048,17 f.u.,Lima.,1786-02-08,1786-Feb.-08,"Texto manuscrito, cosido. Antigua signatura: A8",Traspaso: Domingo Mansilla traspasa a Josef Antonio del Villar una hacienda que tiene impuesto un censo en favor del Monasterio de la Concepción de Lima.
Denegri-Documentos.xlsx,FDL-0049,28 f.u.,Lima.,1791-05-20,1791-May.-20,"Texto manuscrito, cosido, Antigua signatura: A9","Traslado, solicitado por Baltazar de Villalobos, de una escritura de la venta de una casa otorgada por Cristóbal de Orozco y Pacheco a favor de Tiburcio de Villalobos, en 1749."
Denegri-Documentos.xlsx,FDL-0050,21 fu.,"Islay, Arequipa.",fecha inválida,1841-Ago.-16/1842-Jul.-26,"Texto manuscrito, 18 Unidades. Antigua signatura: A10",Cartas remitidas a Manuel Menéndez por Juan Francisco de Reyes.
Denegri-Documentos.xlsx,FDL-0051,2 f.u.,Islay.,1841-11-25,1841-Nov.-25,"Texto manuscrito, 2 Unidades. Antigua signatura A10",Oficio dirigido por Juan Francisco de Reyes al Ministro de Guerra y Marina.
Denegri-Documentos.xlsx,FDL-0052,1 f.u.,Lima.,1838-02-16,1838-Feb.-16,Texto manuscrito. Antigua signatura A11,Oficio dirigido a Manuel Menéndez por la Intendencia de Policía de la Capital del Estado Norperuano.
